漢字,カタカナ読み,正答,誤答1,誤答2,誤答3
岐路,キロ,物事の分かれ道,深く後悔すること,気持ちが沈んで暗くなること,考えが行き詰まること
遺跡,イセキ,昔の建物などの跡,危難から助け出す,並大抵・普通,これまでの習慣や勢い
凌ぐ,シノグ,困難に耐える・能力が上回る,あわれみ・不憫に思うこと,物事を恐れない強い心,その人が持っている本質的な特徴
随う,シタガウ,命令や規則、流れに従う,静かに涙を流すこと,社会の利害を調整し秩序を作る営み,到達した心の状態・場所
捗る,ハカドル,仕事や勉強が順調に進む,病気やけがが治ること,自分の過ちを認めること,他人の言葉を信じ込むこと
遺言,ユイゴン,死に際に残す言葉,信念を曲げずに貫くこと,他に頼らず独り立ちすること,突然の出来事に慌てること
紹介,ショウカイ,仲立ちをして引き合わせること,丁寧で礼儀正しいこと,ひそかに企てること,抑えきれない怒りを覚えること
低徊,テイカイ,思いにふけりながら行ったり来たりすること,人を疑いねたむこと,立場や態度をはっきりさせること,無実の罪
踟蹰,チチュウ,ためらうこと・足踏みすること,むごく痛ましいこと,つながり・ゆかり・理由,先のことを心配すること
一瞥,イチベツ,ちらりと見ること,深く後悔すること,他人に任せること,あらまし・内容の要点
茫然,ボウゼン,意外なことに驚き呆れるさま,深く後悔すること,平凡で優れた点がないこと,他人の才能などをうらやみ憎む
模糊,モコ,ぼんやりしてはっきりしないさま,他人の言葉を信じ込むこと,思いにふけりながら行ったり来たりすること,物事のすべてを投げ出すこと
刺激,シゲキ,外部から作用させて反応を起こさせること,社会の利害を調整し秩序を作る営み,実行の期日を延ばすこと,人の心に深く訴えること
境地,キョウチ,到達した心の状態・場所,物事に心を奪われてうっとりするさま,ちらりと見ること,行き先を見失うこと
凡庸,ボンヨウ,平凡で優れた点がないこと,馬鹿にして笑う,信念を曲げずに貫くこと,国家が定めた社会のルール
摩擦,マサツ,こすれ合うこと・利害の衝突,あわれみ・不憫に思うこと,他人に任せること,その人が持っている本質的な特徴
政治,セイジ,社会の利害を調整し秩序を作る営み,穏やかで落ち着いていること,ちらりと見ること,感情や思考がひどく乱れること
法律,ホウリツ,国家が定めた社会のルール,ためらうこと・足踏みすること,穏やかで落ち着いていること,何かをじっと見つめること
独立,ドクリツ,他に頼らず独り立ちすること,物事に心を奪われてうっとりするさま,病気やけがが治ること,突然の出来事に慌てること
勇気,ユウキ,物事を恐れない強い心,これまでの習慣や勢い,その人が持っている本質的な特徴,あらまし・内容の要点
性質,セイシツ,その人が持っている本質的な特徴,他人に任せること,ぼんやりしてはっきりしないさま,平凡で優れた点がないこと
習慣,シュウカン,繰り返し行われるならわし,並大抵・普通,気持ちが沈んで暗くなること,仲立ちをして引き合わせること
決断,ケツダン,きっぱりと決めること,物事に心を奪われてうっとりするさま,つながり・ゆかり・理由,仕事や勉強が順調に進む
救う,スクウ,危難から助け出す,他に頼らず独り立ちすること,穏やかで落ち着いていること,自分の過ちを認めること
